Code Class,Name,Accession,Lymph CTRL 321,Lymph CTRL 327,Lymph CTRL 331,Lymph IL15 320,Lymph IL15 338,Lymph IL15 339,Lymph CTRL 203,Lymph CTRL 205,Lymph CTRL 206,Lymph IL15 209,Lymph IL15 215,Lymph IL15 216,Tumor CTRL 321,Tumor CTRL 327,Tumor CTRL 331,Tumor IL15 320,Tumor IL15 338,Tumor IL15 339,Tumor CTRL 203,Tumor CTRL 205,Tumor CTRL 206,Tumor IL15 209,Tumor IL15 215,Tumor IL15 216,LN Control 301,LN Control 304,LN Control 324,LN IL15 Treated 684,LN IL15 Treated  336,LN IL15 Treated 340,Tumor Control 301,Tumor Control 304,Tumor Control 324,Tumor IL15 Treated 684,Tumor IL15 Treated 336,Tumor IL15 Treated 340
Positive,POS_A(128),ERCC_00117.1,18960,19843,21240,19064,16206,14042,15990,16529,17520,15953,16458,15926,12146,8955,10701,8464,18701,11375,9366,22326,12408,12827,18995,12514,9485,9900,8289,10007,10714,11425,11156,17345,13093,14639,17028,15524
Positive,POS_B(32),ERCC_00112.1,6491,6744,7278,6548,5559,4755,5416,5607,5804,5116,5373,5245,4081,2907,3463,2703,6137,3879,2978,7113,4017,4062,6147,4211,3319,3454,3061,3645,3711,3685,4038,5713,4234,4760,5683,4918
Positive,POS_C(8),ERCC_00002.1,1857,1955,2062,1899,1577,1429,1582,1608,1669,1477,1488,1488,1171,841,921,818,1731,1146,853,1785,1194,1196,1685,1210,983,1129,888,1031,1142,1098,1230,1355,1224,1257,1402,1184
Positive,POS_D(2),ERCC_00092.1,353,380,422,417,322,357,304,336,345,341,353,320,272,171,230,198,399,247,201,488,262,283,431,274,219,231,189,222,230,253,288,416,309,325,357,346
Positive,POS_E(0.5),ERCC_00035.1,73,78,83,78,66,68,71,76,71,58,62,82,46,29,54,34,83,53,46,66,37,43,76,55,38,49,39,29,57,40,33,64,38,49,74,68
Positive,POS_F(0.125),ERCC_00034.1,21,39,31,28,21,20,23,27,32,22,25,21,17,15,13,17,27,14,18,37,24,26,22,23,21,21,13,20,25,18,16,18,20,23,20,20
Negative,NEG_A(0),ERCC_00096.1,8,5,2,6,6,6,4,4,5,5,11,8,0,7,6,6,4,7,10,3,6,1,3,7,2,8,4,2,2,3,6,3,3,4,8,4
Negative,NEG_B(0),ERCC_00041.1,1,3,7,8,4,2,6,5,2,3,3,7,3,3,4,11,6,3,6,2,2,2,3,5,2,2,2,7,4,3,5,0,1,0,0,1
Negative,NEG_C(0),ERCC_00019.1,14,9,9,11,7,5,10,8,13,7,12,9,6,4,4,8,5,7,8,6,3,8,7,4,12,12,7,6,8,5,6,7,8,5,6,2
Negative,NEG_D(0),ERCC_00076.1,13,13,15,11,14,14,10,13,12,8,18,13,11,8,7,22,23,20,11,5,7,15,10,3,14,21,16,7,11,8,7,5,7,5,3,8
Negative,NEG_E(0),ERCC_00098.1,6,4,5,5,5,2,8,12,5,8,7,12,4,8,3,6,7,7,13,7,11,5,7,2,3,7,2,4,9,2,9,1,1,5,4,4
Negative,NEG_F(0),ERCC_00126.1,4,7,14,11,13,8,10,6,9,2,8,3,7,6,9,9,3,4,3,2,13,7,5,6,11,8,8,6,7,4,3,5,4,3,3,5
Negative,NEG_G(0),ERCC_00144.1,13,20,14,7,11,8,19,12,11,16,13,7,8,1,5,7,5,6,8,4,6,7,10,9,5,17,6,8,7,7,7,1,5,6,10,6
Negative,NEG_H(0),ERCC_00154.1,7,3,11,8,16,14,9,13,13,6,8,7,8,6,7,6,7,9,9,5,11,9,6,9,2,12,4,7,5,1,9,3,4,2,3,7
Endogenous,A2m,NM_175628.3,9,7,14,30,19,14,14,13,19,23,23,30,9,7,11,11,10,14,15,4,6,8,3,14,9,11,11,35,18,12,7,6,4,7,7,10
Endogenous,Abca1,NM_013454.3,1642,1604,1600,1306,1649,1614,2998,2882,1852,1111,845,791,510,559,533,2034,403,1005,822,83,493,540,204,609,1638,2139,1501,1238,1004,405,242,20,106,483,75,412
Endogenous,Abcb1a,NM_011076.1,166,163,150,342,348,333,204,185,132,429,194,579,62,82,91,75,7,22,64,6,37,20,9,29,142,190,146,182,330,88,48,2,6,38,1,30
Housekeeping,Abcf1,NM_013854.1,228,229,258,328,309,301,277,341,319,377,390,391,959,915,942,433,176,487,1102,122,1136,510,264,752,245,293,232,466,246,120,792,34,237,156,63,320
